subjects,temporal
368753.R,NODE2162
105923.R,NODE2162
114823.R,NODE2162
392750.R,NODE2162
597869.R,NODE2162
578057.L,NODE2162
820745.L,NODE2162
214423.R,NODE2162
626648.R,NODE2162
844961.R,NODE2162
148032.L,NODE2162
148032.R,NODE2162
622236.L,NODE2162
525541.R,NODE2162
108828.L,NODE2162
120212.R,NODE2162
143224.R,NODE2162
362034.R,NODE2162
500222.R,NODE2162
173839.R,NODE2162
436845.R,NODE2162
113619.R,NODE2162
211922.R,NODE2162
723141.R,NODE2162
197348.R,NODE2162
371843.R,NODE2162
469961.R,NODE2162
206727.R,NODE2162
316835.R,NODE2162
114621.R,NODE2162
138837.R,NODE2162
147737.R,NODE2162
580650.R,NODE2162
151930.R,NODE2162
133827.R,NODE2162
541943.R,NODE2162
541640.R,NODE2162
622236.R,NODE2162
109830.R,NODE2162
825048.R,NODE2162
413934.R,NODE2162
105115.R,NODE2162
115219.R,NODE2162
588565.R,NODE2162
187850.R,NODE2162
518746.R,NODE2162
325129.R,NODE2162
155231.L,NODE2162
121921.L,NODE2162
662551.L,NODE2162
662551.R,NODE2162
432332.L,NODE2163
786569.L,NODE2163
145531.L,NODE2163
558960.L,NODE2163
178748.L,NODE2163
519647.L,NODE2163
122317.L,NODE2163
207628.L,NODE2163
175338.L,NODE2163
132118.L,NODE2163
165638.L,NODE2163
525541.L,NODE2163
561242.L,NODE2163
105620.L,NODE2163
145632.L,NODE2163
837560.L,NODE2163
174437.R,NODE2164
180836.R,NODE2164
713239.R,NODE2164
145834.L,NODE2164
102311.R,NODE2164
186848.R,NODE2164
871762.L,NODE2164
453542.L,NODE2164
645450.L,NODE2164
199251.R,NODE2164
599671.L,NODE2164
303624.L,NODE2164
571548.L,NODE2164
115017.L,NODE2164
217429.L,NODE2164
137633.L,NODE2164
120717.L,NODE2164
171532.L,NODE2164
861456.L,NODE2164
284646.L,NODE2164
979984.L,NODE2164
197550.L,NODE2164
210011.L,NODE2164
172938.L,NODE2164
467351.L,NODE2164
339847.L,NODE2164
835657.L,NODE2164
100307.L,NODE2164
386250.L,NODE2164
942658.L,NODE2164
559457.R,NODE2164
441939.L,NODE2164
151829.L,NODE2164
748662.L,NODE2164
188549.L,NODE2164
191841.L,NODE2164
293748.L,NODE2164
382242.R,NODE2164
628248.R,NODE2164
183034.L,NODE2164
103515.L,NODE2164
869472.L,NODE2164
355845.R,NODE2164
845458.R,NODE2164
167036.L,NODE2164
185139.L,NODE2164
153631.L,NODE2164
206323.L,NODE2164
856463.L,NODE2164
209127.L,NODE2164
126628.L,NODE2164
120515.L,NODE2164
329844.L,NODE2164
745555.L,NODE2164
832651.L,NODE2164
171128.R,NODE2164
111413.L,NODE2164
