subjects,temporal
872764.L,NODE2177
734247.R,NODE2177
108020.R,NODE2177
141119.R,NODE2177
732243.R,NODE2177
147636.R,NODE2177
788876.R,NODE2177
103111.R,NODE2177
207628.R,NODE2177
453441.R,NODE2177
680250.R,NODE2177
188145.R,NODE2177
192136.R,NODE2177
917255.L,NODE2177
201111.L,NODE2177
170934.L,NODE2177
170934.R,NODE2177
810439.L,NODE2177
751550.R,NODE2177
173233.R,NODE2177
153429.R,NODE2177
304020.R,NODE2177
103515.R,NODE2177
745555.R,NODE2177
833148.R,NODE2177
169747.R,NODE2177
201111.R,NODE2177
158540.R,NODE2177
793465.L,NODE2177
793465.R,NODE2177
479762.R,NODE2177
188448.L,NODE2177
212015.L,NODE2177
200311.R,NODE2177
510225.R,NODE2177
134324.R,NODE2177
212318.R,NODE2177
994273.R,NODE2177
389357.R,NODE2177
516742.R,NODE2177
102715.R,NODE2177
486759.R,NODE2177
727654.R,NODE2177
390645.R,NODE2177
623137.R,NODE2177
725751.R,NODE2177
147030.R,NODE2177
397861.R,NODE2177
307127.R,NODE2177
872562.R,NODE2177
251833.R,NODE2177
366446.R,NODE2177
211821.R,NODE2177
176239.R,NODE2177
102614.R,NODE2177
172635.R,NODE2177
219231.R,NODE2177
815247.R,NODE2177
156435.R,NODE2177
580347.R,NODE2177
680250.L,NODE2177
212318.L,NODE2177
623137.L,NODE2177
212217.L,NODE2177
290136.L,NODE2177
153126.L,NODE2177
169040.L,NODE2177
957974.L,NODE2177
163129.L,NODE2177
183741.L,NODE2177
379657.L,NODE2177
147636.L,NODE2177
255639.L,NODE2177
138231.L,NODE2177
182840.L,NODE2177
172130.R,NODE2177
958976.R,NODE2177
233326.R,NODE2177
833249.L,NODE2177
852455.R,NODE2177
131217.L,NODE2177
861456.R,NODE2177
210415.L,NODE2177
634748.L,NODE2177
126931.R,NODE2177
896778.R,NODE2177
246133.L,NODE2177
735148.L,NODE2177
128632.R,NODE2177
663755.L,NODE2177
210617.R,NODE2177
197550.R,NODE2177
330324.R,NODE2177
208024.R,NODE2177
873968.R,NODE2177
167743.L,NODE2177
884064.L,NODE2177
802844.L,NODE2177
297655.L,NODE2177
322224.R,NODE2177
130922.L,NODE2177
393247.R,NODE2177
204622.R,NODE2177
209127.R,NODE2177
536647.R,NODE2177
870861.L,NODE2177
108525.R,NODE2177
192035.R,NODE2177
877269.R,NODE2177
117324.L,NODE2177
118528.R,NODE2177
614439.L,NODE2177
117324.R,NODE2177
295146.R,NODE2177
118528.L,NODE2177
179952.R,NODE2177
129129.L,NODE2177
119833.R,NODE2177
143325.L,NODE2177
135528.R,NODE2177
179548.R,NODE2177
584355.R,NODE2177
204622.L,NODE2177
211114.R,NODE2177
251833.L,NODE2177
555651.L,NODE2177
175338.R,NODE2178
310621.R,NODE2178
690152.R,NODE2178
849971.R,NODE2178
121921.R,NODE2178
573249.R,NODE2178
185846.R,NODE2178
506234.R,NODE2178
162228.R,NODE2178
211215.R,NODE2178
594156.R,NODE2178
211720.L,NODE2178
211720.R,NODE2178
122317.R,NODE2178
169949.R,NODE2178
202719.R,NODE2178
150625.R,NODE2178
161832.R,NODE2178
520228.R,NODE2178
134627.R,NODE2178
943862.R,NODE2178
106319.R,NODE2178
131823.R,NODE2178
125222.R,NODE2178
381543.R,NODE2178
601127.R,NODE2178
987074.R,NODE2178
124220.R,NODE2178
130720.R,NODE2178
198451.R,NODE2178
320826.R,NODE2178
202113.L,NODE2179
720337.L,NODE2179
128935.L,NODE2179
200311.L,NODE2179
151728.L,NODE2179
615744.L,NODE2179
153025.L,NODE2179
585862.L,NODE2179
126426.L,NODE2179
454140.L,NODE2179
195041.L,NODE2179
680957.L,NODE2179
205220.L,NODE2179
175439.L,NODE2179
321323.L,NODE2179
623844.L,NODE2179
826454.L,NODE2179
139839.L,NODE2179
109325.L,NODE2179
127933.L,NODE2179
204521.L,NODE2179
134324.L,NODE2179
206828.L,NODE2179
124624.L,NODE2179
947668.L,NODE2179
989987.L,NODE2179
852455.L,NODE2179
937160.L,NODE2179
688569.L,NODE2179
843151.L,NODE2179
108323.L,NODE2179
134425.L,NODE2179
185038.L,NODE2179
156031.L,NODE2179
520228.L,NODE2179
844961.L,NODE2179
115320.L,NODE2179
133019.L,NODE2179
500222.L,NODE2179
176441.L,NODE2179
134728.L,NODE2179
148840.L,NODE2179
580347.L,NODE2180
517239.L,NODE2180
792564.L,NODE2180
102109.L,NODE2180
126325.L,NODE2180
139233.L,NODE2180
152831.L,NODE2180
378756.L,NODE2180
103111.L,NODE2180
289555.L,NODE2180
587664.L,NODE2180
201414.L,NODE2180
201414.R,NODE2180
140824.R,NODE2180
113316.R,NODE2180
206222.R,NODE2180
613538.L,NODE2180
667056.R,NODE2180
693461.L,NODE2180
365343.L,NODE2180
162935.R,NODE2180
270332.R,NODE2180
656253.R,NODE2180
153833.L,NODE2180
856968.R,NODE2180
250427.R,NODE2180
167238.R,NODE2180
693461.R,NODE2180
109325.R,NODE2180
238033.R,NODE2180
157437.R,NODE2180
175035.R,NODE2180
441939.R,NODE2180
179346.R,NODE2180
107422.L,NODE2180
529549.L,NODE2180
951457.L,NODE2180
136631.L,NODE2180
212116.L,NODE2180
199352.L,NODE2180
421226.R,NODE2180
196750.L,NODE2180
119126.L,NODE2180
571548.R,NODE2180
221218.R,NODE2180
880157.R,NODE2180
635245.R,NODE2180
130316.R,NODE2180
361234.R,NODE2180
901139.R,NODE2180
129331.L,NODE2180
283543.R,NODE2180
579867.R,NODE2180
888678.R,NODE2180
164636.R,NODE2180
647858.R,NODE2180
149337.R,NODE2180
578158.R,NODE2180
141422.R,NODE2180
467351.R,NODE2180
614439.R,NODE2180
213421.L,NODE2180
604537.R,NODE2180
164636.L,NODE2180
192641.L,NODE2180
146937.R,NODE2180
366446.L,NODE2180
727553.R,NODE2180
188751.L,NODE2180
146533.L,NODE2180
872158.L,NODE2180
187345.L,NODE2180
513736.L,NODE2180
378857.L,NODE2180
124220.L,NODE2180
865363.R,NODE2180
387959.L,NODE2180
381038.L,NODE2180
465852.L,NODE2180
138332.R,NODE2180
303119.R,NODE2180
281135.R,NODE2180
153227.R,NODE2180
828862.R,NODE2180
694362.L,NODE2180
672756.R,NODE2180
237334.L,NODE2180
529549.R,NODE2180
969476.R,NODE2180
952863.L,NODE2180
992774.R,NODE2180
204218.R,NODE2180
198653.L,NODE2180
705341.R,NODE2180
175035.L,NODE2180
196750.R,NODE2180
116524.R,NODE2180
397760.R,NODE2180
159845.R,NODE2180
385046.R,NODE2180
151425.R,NODE2180
627852.R,NODE2180
350330.R,NODE2180
356948.R,NODE2180
749058.L,NODE2180
188751.R,NODE2180
650746.R,NODE2180
308129.R,NODE2180
663755.R,NODE2180
570243.R,NODE2180
124826.R,NODE2180
178142.R,NODE2180
856968.L,NODE2180
480141.L,NODE2180
173132.R,NODE2180
749361.L,NODE2180
105216.R,NODE2180
580650.L,NODE2180
911849.R,NODE2180
130114.L,NODE2180
645551.L,NODE2180
209834.R,NODE2180
214524.R,NODE2180
159138.R,NODE2180
859671.R,NODE2180
117930.R,NODE2180
143527.R,NODE2180
465852.R,NODE2180
585256.R,NODE2180
134829.R,NODE2180
173738.R,NODE2180
352738.R,NODE2180
449753.R,NODE2180
391748.R,NODE2180
731140.R,NODE2180
978578.L,NODE2180
978578.R,NODE2180
121315.L,NODE2180
121315.R,NODE2180
480141.R,NODE2180
146533.R,NODE2180
566454.R,NODE2180
113922.R,NODE2180
182739.R,NODE2180
140925.R,NODE2180
645551.R,NODE2180
183034.R,NODE2180
485757.R,NODE2180
826353.R,NODE2180
111211.R,NODE2180
433839.R,NODE2180
149741.R,NODE2180
361941.R,NODE2180
186040.L,NODE2180
701535.L,NODE2180
993675.L,NODE2180
683256.R,NODE2180
993675.R,NODE2180
208630.R,NODE2180
336841.R,NODE2180
168139.R,NODE2180
117122.R,NODE2180
255639.R,NODE2180
156334.R,NODE2180
833249.R,NODE2180
227533.R,NODE2180
590047.R,NODE2180
211619.R,NODE2180
119126.R,NODE2180
176441.R,NODE2180
159239.R,NODE2180
132017.R,NODE2180
249947.R,NODE2180
761957.L,NODE2180
149236.R,NODE2180
129432.R,NODE2180
120010.R,NODE2180
159946.R,NODE2180
103414.R,NODE2180
633847.R,NODE2180
767464.R,NODE2180
286650.R,NODE2180
784565.R,NODE2180
286347.R,NODE2180
212419.R,NODE2180
567961.R,NODE2180
733548.R,NODE2180
164131.R,NODE2180
311320.R,NODE2180
159744.R,NODE2180
203923.R,NODE2180
206929.R,NODE2180
123420.R,NODE2180
197449.R,NODE2180
972566.R,NODE2180
133625.L,NODE2180
124624.R,NODE2180
156233.R,NODE2180
131217.R,NODE2180
166640.R,NODE2180
143325.R,NODE2180
195445.R,NODE2180
180533.R,NODE2180
129533.R,NODE2180
825654.R,NODE2180
158843.R,NODE2180
175136.R,NODE2180
126628.R,NODE2180
481951.R,NODE2180
208226.R,NODE2180
904044.R,NODE2180
128935.R,NODE2180
519950.R,NODE2180
154431.R,NODE2180
114318.R,NODE2180
116120.R,NODE2180
559053.R,NODE2180
553344.L,NODE2180
553344.R,NODE2180
144226.R,NODE2180
191033.R,NODE2180
203418.R,NODE2180
173637.L,NODE2180
144125.R,NODE2180
118932.R,NODE2180
130013.R,NODE2180
137633.R,NODE2180
250932.R,NODE2180
734045.R,NODE2180
996782.R,NODE2180
171431.L,NODE2180
171431.R,NODE2180
280739.L,NODE2180
680452.R,NODE2180
521331.L,NODE2180
547046.R,NODE2180
137532.L,NODE2180
715950.R,NODE2180
213421.R,NODE2180
845458.L,NODE2180
103818.R,NODE2180
510326.L,NODE2180
827052.L,NODE2180
181232.L,NODE2180
160729.L,NODE2180
160729.R,NODE2180
683256.L,NODE2180
130417.R,NODE2180
419239.L,NODE2180
355542.R,NODE2180
194443.R,NODE2180
308331.R,NODE2180
144933.R,NODE2180
522434.R,NODE2180
191942.R,NODE2180
869472.R,NODE2180
118831.R,NODE2180
905147.R,NODE2180
585862.R,NODE2180
125424.R,NODE2180
191437.R,NODE2180
126426.R,NODE2180
321323.R,NODE2180
744553.R,NODE2180
760551.R,NODE2180
103212.R,NODE2180
877168.R,NODE2180
136833.R,NODE2180
620434.R,NODE2180
131621.R,NODE2180
207426.R,NODE2180
175439.R,NODE2180
835657.R,NODE2180
552544.L,NODE2180
552544.R,NODE2180
113417.R,NODE2180
894067.R,NODE2180
333330.R,NODE2180
468050.R,NODE2180
929464.R,NODE2180
953764.R,NODE2180
280739.R,NODE2180
707749.R,NODE2180
139233.R,NODE2180
196851.R,NODE2180
203721.R,NODE2180
499566.L,NODE2180
395251.R,NODE2180
429040.L,NODE2180
429040.R,NODE2180
177140.L,NODE2180
275645.L,NODE2180
395756.L,NODE2180
135225.L,NODE2180
137532.R,NODE2180
123925.R,NODE2180
180432.R,NODE2180
107321.R,NODE2180
567759.R,NODE2180
454140.R,NODE2180
268850.R,NODE2180
192540.L,NODE2180
211316.R,NODE2180
832651.R,NODE2180
199453.R,NODE2180
212823.R,NODE2180
236130.R,NODE2180
827052.R,NODE2180
153732.R,NODE2180
395756.R,NODE2180
163129.R,NODE2180
609143.R,NODE2180
333330.L,NODE2180
885975.L,NODE2180
192641.R,NODE2180
177342.L,NODE2180
723141.L,NODE2180
562446.L,NODE2180
896879.L,NODE2180
394956.L,NODE2180
381038.R,NODE2180
878877.R,NODE2180
885975.R,NODE2180
120414.L,NODE2180
120414.R,NODE2180
353740.R,NODE2180
366042.R,NODE2180
334635.R,NODE2180
919966.R,NODE2180
972566.L,NODE2180
907656.R,NODE2180
211922.L,NODE2180
825048.L,NODE2180
756055.L,NODE2180
204521.R,NODE2180
160123.L,NODE2180
192540.R,NODE2180
151627.L,NODE2180
110411.R,NODE2180
180230.L,NODE2180
151728.R,NODE2180
190031.R,NODE2180
378857.R,NODE2180
146735.L,NODE2180
664757.R,NODE2180
170631.R,NODE2180
217126.R,NODE2180
159340.R,NODE2180
171734.R,NODE2180
497865.R,NODE2180
706040.L,NODE2180
178647.R,NODE2180
146735.R,NODE2180
205220.R,NODE2180
123925.L,NODE2180
134021.L,NODE2180
163331.R,NODE2180
304727.R,NODE2180
654754.R,NODE2180
849264.R,NODE2180
316633.L,NODE2180
120717.R,NODE2180
173940.R,NODE2180
679568.R,NODE2180
209228.R,NODE2180
765864.R,NODE2180
401422.L,NODE2180
196144.R,NODE2180
214019.R,NODE2180
203923.L,NODE2180
145834.R,NODE2180
153833.R,NODE2180
562446.R,NODE2180
822244.R,NODE2180
789373.L,NODE2180
549757.R,NODE2180
186040.R,NODE2180
557857.R,NODE2180
990366.R,NODE2180
285446.L,NODE2180
188145.L,NODE2180
889579.R,NODE2180
116726.L,NODE2180
177241.L,NODE2180
307127.L,NODE2180
704238.L,NODE2180
223929.R,NODE2180
285446.R,NODE2180
178950.R,NODE2180
615441.R,NODE2180
720337.R,NODE2180
151526.R,NODE2180
561242.R,NODE2180
112314.R,NODE2180
586460.R,NODE2180
201818.R,NODE2180
757764.R,NODE2180
100610.R,NODE2180
379657.R,NODE2180
618952.R,NODE2180
188448.R,NODE2180
856766.R,NODE2180
129937.L,NODE2180
129937.R,NODE2180
151627.R,NODE2180
983773.R,NODE2180
137431.R,NODE2180
843151.R,NODE2180
314225.R,NODE2180
492754.R,NODE2180
898176.R,NODE2180
468050.L,NODE2180
239136.R,NODE2180
567052.R,NODE2180
962058.R,NODE2180
809252.R,NODE2180
148335.R,NODE2180
709551.R,NODE2180
168947.R,NODE2180
200008.R,NODE2180
932554.R,NODE2180
178849.R,NODE2180
150524.R,NODE2180
462139.R,NODE2180
200917.L,NODE2181
599065.L,NODE2181
102614.L,NODE2181
299154.R,NODE2181
171633.L,NODE2181
679568.L,NODE2181
774663.R,NODE2181
973770.R,NODE2181
361941.L,NODE2181
284646.R,NODE2181
965367.R,NODE2181
102311.L,NODE2181
573451.L,NODE2181
212823.L,NODE2181
346945.L,NODE2181
115724.L,NODE2181
154936.L,NODE2181
180129.L,NODE2181
586460.L,NODE2181
385450.L,NODE2181
880157.L,NODE2181
185341.L,NODE2181
270332.L,NODE2181
180533.L,NODE2181
298051.L,NODE2181
281135.L,NODE2181
825654.L,NODE2181
140420.L,NODE2181
140420.R,NODE2181
249947.L,NODE2181
599469.L,NODE2181
208327.L,NODE2181
182032.L,NODE2181
992774.L,NODE2181
105923.L,NODE2181
168240.L,NODE2181
818455.L,NODE2181
286650.L,NODE2181
325129.L,NODE2181
395958.L,NODE2181
397760.L,NODE2181
116524.L,NODE2181
111413.R,NODE2181
160830.L,NODE2181
856766.L,NODE2181
545345.L,NODE2181
680452.L,NODE2181
191235.L,NODE2181
185038.R,NODE2181
211619.L,NODE2181
355239.L,NODE2181
580044.L,NODE2181
186141.L,NODE2181
953764.L,NODE2181
103212.L,NODE2181
204016.L,NODE2181
149842.L,NODE2181
555954.L,NODE2181
911849.L,NODE2181
320826.L,NODE2181
116221.L,NODE2181
475855.L,NODE2181
140117.L,NODE2181
654552.L,NODE2181
129533.L,NODE2181
733548.L,NODE2181
146432.L,NODE2181
969476.L,NODE2181
597869.L,NODE2182
995174.L,NODE2182
506234.L,NODE2182
214423.L,NODE2182
531536.L,NODE2182
579665.L,NODE2182
167238.L,NODE2182
257542.L,NODE2182
376247.L,NODE2182
792867.L,NODE2182
131823.L,NODE2182
518746.L,NODE2182
155938.L,NODE2182
886674.L,NODE2182
191336.L,NODE2182
512835.L,NODE2182
101410.L,NODE2182
144226.L,NODE2182
702133.L,NODE2182
196346.L,NODE2182
380036.L,NODE2182
541640.L,NODE2182
705341.L,NODE2182
130417.L,NODE2182
103010.L,NODE2182
186545.L,NODE2182
157942.L,NODE2182
588565.L,NODE2182
101309.L,NODE2182
164030.L,NODE2182
627549.L,NODE2182
548250.L,NODE2182
166640.L,NODE2182
316835.L,NODE2182
421226.L,NODE2182
136833.L,NODE2182
783462.L,NODE2182
169141.L,NODE2182
203418.L,NODE2182
140319.L,NODE2182
150625.L,NODE2182
171330.L,NODE2183
393550.L,NODE2183
173334.L,NODE2183
763557.L,NODE2183
133827.L,NODE2183
162228.L,NODE2183
812746.L,NODE2183
685058.L,NODE2183
161630.L,NODE2183
479762.L,NODE2183
557857.L,NODE2183
141422.L,NODE2183
156435.L,NODE2183
195445.L,NODE2183
141119.L,NODE2183
342129.L,NODE2183
810843.L,NODE2183
100408.L,NODE2183
329440.L,NODE2183
119025.L,NODE2183
300618.L,NODE2183
314225.L,NODE2183
113316.L,NODE2183
910443.L,NODE2183
789373.R,NODE2184
165638.R,NODE2184
837560.R,NODE2184
926862.L,NODE2184
108121.R,NODE2184
106319.L,NODE2184
188347.R,NODE2184
803240.R,NODE2184
113215.R,NODE2184
214221.L,NODE2184
214221.R,NODE2184
580751.L,NODE2184
580751.R,NODE2184
617748.R,NODE2184
927359.R,NODE2184
208125.L,NODE2184
962058.L,NODE2184
193441.R,NODE2184
604537.L,NODE2184
186949.R,NODE2184
148436.R,NODE2184
134728.R,NODE2184
195849.R,NODE2184
318637.R,NODE2184
149539.R,NODE2184
728454.R,NODE2184
182840.R,NODE2184
115825.R,NODE2184
186141.R,NODE2184
141826.R,NODE2184
198047.R,NODE2184
360030.R,NODE2184
613538.R,NODE2184
436845.L,NODE2184
104012.R,NODE2184
107018.R,NODE2184
118023.R,NODE2184
198350.R,NODE2184
134223.R,NODE2184
189450.R,NODE2184
116423.R,NODE2184
414229.R,NODE2184
110007.R,NODE2184
134021.R,NODE2184
122418.L,NODE2184
153126.R,NODE2184
153934.R,NODE2184
106016.R,NODE2184
168240.R,NODE2184
107220.R,NODE2184
162733.R,NODE2184
111312.R,NODE2184
183337.R,NODE2184
106521.R,NODE2184
187547.R,NODE2184
555651.R,NODE2184
856463.R,NODE2184
130619.R,NODE2184
644246.R,NODE2184
189349.R,NODE2184
565452.R,NODE2184
136732.R,NODE2184
512835.R,NODE2184
146836.L,NODE2184
814649.R,NODE2184
590047.L,NODE2184
145127.R,NODE2184
166438.R,NODE2184
769064.R,NODE2184
144731.L,NODE2184
144731.R,NODE2184
228434.R,NODE2184
391748.L,NODE2184
572045.R,NODE2184
991267.R,NODE2184
104012.L,NODE2184
692964.R,NODE2184
800941.R,NODE2184
677766.R,NODE2184
706040.R,NODE2184
165436.L,NODE2184
205725.L,NODE2184
172332.R,NODE2184
193845.R,NODE2184
599065.R,NODE2184
773257.R,NODE2184
930449.R,NODE2184
704238.R,NODE2184
753251.R,NODE2184
135629.R,NODE2184
342129.R,NODE2184
810843.R,NODE2184
143426.R,NODE2184
162329.R,NODE2184
298455.R,NODE2184
524135.R,NODE2184
899885.R,NODE2184
142424.R,NODE2184
150423.R,NODE2184
200210.R,NODE2184
448347.R,NODE2184
686969.R,NODE2184
620434.L,NODE2184
126931.L,NODE2184
336841.L,NODE2184
371843.L,NODE2184
812746.R,NODE2184
173839.L,NODE2184
106521.L,NODE2184
671855.L,NODE2184
180432.L,NODE2184
177140.R,NODE2184
305830.L,NODE2184
522434.L,NODE2184
154229.L,NODE2184
782157.L,NODE2184
361234.L,NODE2184
473952.L,NODE2184
473952.R,NODE2184
197348.L,NODE2184
919966.L,NODE2184
143830.L,NODE2184
117021.R,NODE2184
492754.L,NODE2184
105216.L,NODE2184
117122.L,NODE2184
125525.L,NODE2184
200008.L,NODE2184
104820.L,NODE2184
107321.L,NODE2184
135932.L,NODE2184
385450.R,NODE2184
102513.L,NODE2184
759869.L,NODE2184
143527.L,NODE2184
481042.L,NODE2184
125525.R,NODE2184
192439.R,NODE2184
609143.L,NODE2184
110007.L,NODE2184
412528.L,NODE2184
130720.L,NODE2184
221218.L,NODE2184
304727.L,NODE2184
530635.L,NODE2184
757764.L,NODE2184
905147.L,NODE2184
159946.L,NODE2184
133019.R,NODE2184
168745.R,NODE2184
788674.L,NODE2184
779370.L,NODE2184
189652.R,NODE2184
121820.L,NODE2184
121820.R,NODE2184
567759.L,NODE2184
627549.R,NODE2184
585256.L,NODE2184
144832.L,NODE2184
146937.L,NODE2184
202820.L,NODE2184
130821.L,NODE2184
123117.L,NODE2184
894673.R,NODE2184
594156.L,NODE2184
389357.L,NODE2184
611231.L,NODE2184
154936.R,NODE2184
654552.R,NODE2184
137128.L,NODE2184
182436.L,NODE2184
118124.R,NODE2184
118023.L,NODE2184
107725.R,NODE2184
127731.R,NODE2184
185947.R,NODE2184
200109.L,NODE2184
599671.R,NODE2184
